ISIN,CompanyName,Year,Reportdate,RBICS_PrimaryCode,RBICS_Top10_Flag
AT0000A3EPA4,AM - SRAM AG ,2019,2020-02-11,4060,False
AT0000A3EPA4,AM - SRAM AG ,2020,2021-02-09,4060,False
AT0000A3EPA4,AM - SRAM AG ,2021,2022-02-08,4060,False
AT0000A3EPA4,AM - SRAM AG ,2022,2023-02-07,4060,False
AT0000A3EPA4,AM - SRAM AG ,2023,2024-02-09,4060,False
AT0000KTMI02,PIERER MOBILITY AG ,2019,2020-02-20,8580,True
AT0000KTMI02,PIERER MOBILITY AG ,2020,2021-02-01,8580,True
AT0000KTMI02,PIERER MOBILITY AG ,2021,2022-03-29,8580,True
AT0000KTMI02,PIERER MOBILITY AG ,2022,2023-03-28,8580,True
AT0000KTMI02,PIERER MOBILITY AG ,2023,2024-01-29,8580,True
CH0000816824,OC OERLIKON CORP ,2019,2020-03-03,3110,True
CH0000816824,OC OERLIKON CORP ,2020,2021-03-02,3110,True
CH0000816824,OC OERLIKON CORP ,2021,2022-03-01,3110,True
CH0000816824,OC OERLIKON CORP ,2022,2023-02-21,3110,True
CH0000816824,OC OERLIKON CORP ,2023,2024-02-20,3110,True
CH0001340204,GRAUBUENDNER KBK ,2019,2020-04-06,4320,False
CH0001340204,GRAUBUENDNER KBK ,2020,2021-02-04,4320,False
CH0001340204,GRAUBUENDNER KBK ,2021,2022-02-04,4320,False
CH0001340204,GRAUBUENDNER KBK ,2022,2023-02-10,4320,False
CH0001340204,GRAUBUENDNER KBK ,2023,2024-02-09,4320,False
CH0001624714,CPH GROUP AG ,2019,2020-02-26,6120,False
CH0001624714,CPH GROUP AG ,2021,2022-02-16,6120,False
CH0001624714,CPH GROUP AG ,2022,2023-02-21,6120,False
CH0001624714,CPH GROUP AG ,2023,2024-02-20,6120,False
CH0002178181,STADLER RAIL AG ,2019,2020-04-13,8592,True
CH0002178181,STADLER RAIL AG ,2020,2021-03-11,8592,True
CH0002178181,STADLER RAIL AG ,2021,2022-03-15,8592,True
CH0002178181,STADLER RAIL AG ,2022,2023-03-15,8592,True
CH0002178181,STADLER RAIL AG ,2023,2024-03-13,8592,True
CH0002361068,STARRAG GROUP HOLD ,2019,2020-03-06,4980,False
CH0002361068,STARRAG GROUP HOLD ,2020,2021-03-05,4980,False
CH0002361068,STARRAG GROUP HOLD ,2021,2022-03-04,4980,False
CH0002361068,STARRAG GROUP HOLD ,2022,2023-04-13,4980,False
CH0002361068,STARRAG GROUP HOLD ,2023,2024-04-15,4980,False
CH0002432174,BUCHER INDUSTRIES AG ,2019,2020-03-04,4910,False
CH0002432174,BUCHER INDUSTRIES AG ,2020,2021-01-28,4910,False
CH0002432174,BUCHER INDUSTRIES AG ,2021,2022-01-27,4910,False
CH0002432174,BUCHER INDUSTRIES AG ,2022,2023-01-26,4910,False
CH0002432174,BUCHER INDUSTRIES AG ,2023,2024-01-30,4910,False
CH0002619481,WARTECK INVEST AG ,2019,2020-03-20,4380,True
CH0002619481,WARTECK INVEST AG ,2020,2021-03-23,4380,True
CH0002619481,WARTECK INVEST AG ,2021,2022-03-21,4380,True
CH0002619481,WARTECK INVEST AG ,2022,2023-03-20,4380,True
CH0002619481,WARTECK INVEST AG ,2023,2024-03-20,4380,True
CH0003390066,MIKRON HOLDING AG ,2019,2020-03-16,4970,True
CH0003390066,MIKRON HOLDING AG ,2020,2021-03-10,4970,True
CH0003390066,MIKRON HOLDING AG ,2021,2022-03-11,4970,True
CH0003390066,MIKRON HOLDING AG ,2022,2023-03-10,4970,True
CH0003390066,MIKRON HOLDING AG ,2023,2024-01-24,4970,True
CH0003420806,ORELL FUESSLI HOLD ,2019,2020-03-16,6450,False
CH0003420806,ORELL FUESSLI HOLD ,2020,2021-03-17,6450,False
CH0003420806,ORELL FUESSLI HOLD ,2021,2022-03-30,6450,False
CH0003420806,ORELL FUESSLI HOLD ,2022,2023-03-10,6450,False
CH0003420806,ORELL FUESSLI HOLD ,2023,2024-03-08,6450,False
CH0003541510,FORBO HOLDING AG ,2019,2020-03-03,7330,False
CH0003541510,FORBO HOLDING AG ,2020,2021-03-04,7330,False
CH0003541510,FORBO HOLDING AG ,2021,2022-03-03,7330,False
CH0003541510,FORBO HOLDING AG ,2022,2023-01-17,7330,False
CH0003541510,FORBO HOLDING AG ,2023,2024-03-05,7330,False
CH0003671440,RIETER HOLDING AG ,2019,2020-04-15,4970,True
CH0003671440,RIETER HOLDING AG ,2020,2021-03-09,4970,True
CH0003671440,RIETER HOLDING AG ,2021,2022-03-09,4970,True
CH0003671440,RIETER HOLDING AG ,2022,2023-01-25,4970,True
CH0003671440,RIETER HOLDING AG ,2023,2024-01-24,4970,True
CH0006372897,INTERROLL HOLDING AG ,2019,2020-02-19,4992,False
